x;u(x)
0.000000;1.000000
0.020000;0.916335
0.040000;0.832295
0.060000;0.747907
0.080000;0.663195
0.100000;0.578187
0.120000;0.492907
0.140000;0.407382
0.160000;0.321638
0.180000;0.235702
0.200000;0.149600
0.220000;0.063359
0.240000;-0.022995
0.260000;-0.109435
0.280000;-0.195934
0.300000;-0.282465
0.320000;-0.369001
0.340000;-0.455516
0.360000;-0.541981
0.380000;-0.628371
0.400000;-0.714658
0.420000;-0.800814
0.440000;-0.886814
0.460000;-0.972629
0.480000;-1.058233
0.500000;-1.143598
0.520000;-1.228697
0.540000;-1.313504
0.560000;-1.397991
0.580000;-1.482131
0.600000;-1.565898
0.620000;-1.649264
0.640000;-1.732203
0.660000;-1.814688
0.680000;-1.896692
0.700000;-1.978189
0.720000;-2.059153
0.740000;-2.139557
0.760000;-2.219374
0.780000;-2.298580
0.800000;-2.377147
0.820000;-2.455051
0.840000;-2.532265
0.860000;-2.608764
0.880000;-2.684522
0.900000;-2.759516
0.920000;-2.833718
0.940000;-2.907106
0.960000;-2.979654
0.980000;-3.051337
1.000000;-3.122133
1.020000;-3.192016
1.040000;-3.260963
1.060000;-3.328951
1.080000;-3.395956
1.100000;-3.461956
1.120000;-3.526928
1.140000;-3.590848
1.160000;-3.653696
1.180000;-3.715450
1.200000;-3.776087
1.220000;-3.835586
1.240000;-3.893927
1.260000;-3.951089
1.280000;-4.007051
1.300000;-4.061794
1.320000;-4.115297
1.340000;-4.167542
1.360000;-4.218509
1.380000;-4.268181
1.400000;-4.316537
1.420000;-4.363562
1.440000;-4.409236
1.460000;-4.453543
1.480000;-4.496467
1.500000;-4.537990
1.520000;-4.578098
1.540000;-4.616773
1.560000;-4.654002
1.580000;-4.689770
1.600000;-4.724061
1.620000;-4.756863
1.640000;-4.788162
1.660000;-4.817944
1.680000;-4.846198
1.700000;-4.872911
1.720000;-4.898072
1.740000;-4.921669
1.760000;-4.943691
1.780000;-4.964130
1.800000;-4.982974
1.820000;-5.000214
1.840000;-5.015842
1.860000;-5.029849
1.880000;-5.042228
1.900000;-5.052972
1.920000;-5.062072
1.940000;-5.069524
1.960000;-5.075321
1.980000;-5.079458
2.000000;-5.081931
